Drug1,Drug2,Compatibility
Ibuprofen,Ceftazidime,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Ceftriaxone sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Ciprofloxacin,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Clindamycin phosphate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Cloxacillin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Diazepam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Erythromycin lactobionate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Fluconazole,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Furosemide (Frusemide),No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Gentamicin sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Hydrocortisone sodium succinate,Compatible
Ibuprofen,Ketamine HCl,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Lorazepam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Magnesium sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Meropenem,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Methylprednisolone sodium succinate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Metronidazole,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Morphine sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Ondansetron hydrochloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Phenobarbital sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Penicillin G sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Phenytoin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Piperacillin sodium-Tazobactam sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Potassium chloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Sodium acetate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Sodium bicarbonate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Sulfamethoxazole-Trimethoprim,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Vancomycin hydrochloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ketamine HCl,Acetaminophen/Paracetamol,Compatible
Ketamine HCl,Acyclovir,Not compatible
Ketamine HCl,Amikacin sulfate,Compatible
Ketamine HCl,Aminophylline,Not compatible
Ketamine HCl,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ketamine HCl,Ampicillin sodium,Not compatible
Ketamine HCl,Ampicillin sodium-sulbactam sodium*,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ketamine HCl,Calcium chloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ketamine HCl,Calcium gluconate,Compatible
Ketamine HCl,Cefazolin sodium,Compatible
Ketamine HCl,Ceftazidime,Compatible
Ketamine HCl,Ceftriaxone sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ketamine HCl,Ciprofloxacin,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ketamine HCl,Clindamycin phosphate,Compatible
Ketamine HCl,Clonidine hydrocloride,Compatible
Ketamine HCl,Cloxacillin sodium,Compatible
Ketamine HCl,Diazepam,Not compatible
Ketamine HCl,Erythromycin lactobionate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ketamine HCl,Fluconazole,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ketamine HCl,Furosemide (Frusemide),Not compatible
Ketamine HCl,Gentamicin sulfate,Compatible
Ketamine HCl,Hydrocortisone sodium succinate,Compatible
Ketamine HCl,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ketamine HCl,Lorazepam,Not compatible
Ketamine HCl,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ketamine HCl,Magnesium sulfate,Compatible
Ketamine HCl,Meropenem,Not compatible
Ketamine HCl,Methylprednisolone sodium succinate,Not compatible
Ketamine HCl,Metronidazole,Compatible
Ketamine HCl,Morphine sulfate,Compatible
Ketamine HCl,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ketamine HCl,Ondansetron hydrochloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ketamine HCl,Phenobarbital sodium,Not compatible
Ketamine HCl,Penicillin G sodium,Compatible
Ketamine HCl,Phenytoin sodium,Not compatible
Ketamine HCl,Piperacillin sodium-Tazobactam sodium,Compatible
Ketamine HCl,Potassium chloride,Compatible
Ketamine HCl,Potassium phosphates,Not compatible
Ketamine HCl,Sodium acetate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ketamine HCl,Sodium bicarbonate,Not compatible
Ketamine HCl,Sulfamethoxazole-Trimethoprim,Not compatible
Ketamine HCl,Vancomycin hydrochloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Lorazepam,Acetaminophen/Paracetamol,Compatible
Lorazepam,Acyclovir,Compatible
Lorazepam,Amikacin sulfate,Compatible
Lorazepam,Aminophylline,Compatible
Lorazepam,Amoxicillin sodium-clavulanate,Compatible
Lorazepam,Ampicillin sodium,Not compatible
Lorazepam,Ampicillin sodium-sulbactam sodium*,Not compatible
Lorazepam,Calcium chloride,Compatible
Lorazepam,Calcium gluconate,Compatible
Lorazepam,Cefazolin sodium,Compatible
Lorazepam,Ceftazidime,Compatible
Lorazepam,Ceftriaxone sodium,Compatible
Lorazepam,Ciprofloxacin,Compatible
Lorazepam,Clindamycin phosphate,Compatible
Lorazepam,Clonidine hydrocloride,Compatible
Lorazepam,Cloxacillin sodium,Not compatible
Lorazepam,Diazepam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Lorazepam,Erythromycin lactobionate,Compatible
Lorazepam,Fluconazole,Compatible
Lorazepam,Furosemide (Frusemide),Compatible
Lorazepam,Gentamicin sulfate,Compatible
Lorazepam,Hydrocortisone sodium succinate,Compatible
Lorazepam,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Lorazepam,Ketamine HCl,Not compatible
Lorazepam,Levetiracetam,Compatible
Lorazepam,Magnesium sulfate,Compatible
Lorazepam,Meropenem,Compatible
Lorazepam,Methylprednisolone sodium succinate,Compatible
Lorazepam,Metronidazole,Compatible
Lorazepam,Morphine sulfate,Compatible
Lorazepam,Omeprazole sodium,Not compatible
Lorazepam,Ondansetron hydrochloride,Not compatible
Lorazepam,Phenobarbital sodium,Compatible
Lorazepam,Penicillin G sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Lorazepam,Phenytoin sodium,Not compatible
Lorazepam,Piperacillin sodium-Tazobactam sodium,Compatible
Lorazepam,Potassium chloride,Compatible
Lorazepam,Potassium phosphates,Not compatible
Lorazepam,Sodium acetate,Compatible
Lorazepam,Sodium bicarbonate,Compatible
Lorazepam,Sulfamethoxazole-Trimethoprim,Compatible
Lorazepam,Vancomycin hydrochloride,Compatible
Levetiracetam,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Acyclovir,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Amikacin sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Aminophylline,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Ampicillin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Ampicillin sodium-sulbactam sodium*,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Calcium chloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Calcium gluconate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Cefazolin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Ceftazidime,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Ceftriaxone sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Ciprofloxacin,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Clindamycin phosphate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Cloxacillin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Diazepam,Compatible
Levetiracetam,Erythromycin lactobionate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Fluconazole,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Furosemide (Frusemide),No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Gentamicin sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Hydrocortisone sodium succinate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Ketamine HCl,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Lorazepam,Compatible
Levetiracetam,Magnesium sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Meropenem,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Methylprednisolone sodium succinate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Metronidazole,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Morphine sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Ondansetron hydrochloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Phenobarbital sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Penicillin G sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Phenytoin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Piperacillin sodium-Tazobactam sodium,Not compatible
Levetiracetam,Potassium chloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Sodium acetate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Sodium bicarbonate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Sulfamethoxazole-Trimethoprim,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Levetiracetam,Vancomycin hydrochloride,Compatible
Magnesium sulfate,Acetaminophen/Paracetamol,Compatible
Magnesium sulfate,Acyclovir,Compatible
Magnesium sulfate,Amikacin sulfate,Compatible
Magnesium sulfate,Aminophylline,Not compatible
Magnesium sulfate,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Magnesium sulfate,Ampicillin sodium,Compatible if NaCl 0.9% used
Magnesium sulfate,Ampicillin sodium-sulbactam sodium*,Compatible if NaCl 0.9% used
Magnesium sulfate,Calcium chloride,Not compatible
Magnesium sulfate,Calcium gluconate,Compatible
Magnesium sulfate,Cefazolin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Magnesium sulfate,Ceftazidime,Compatible
Magnesium sulfate,Ceftriaxone sodium,Not compatible
Magnesium sulfate,Ciprofloxacin,Not compatible
Magnesium sulfate,Clindamycin phosphate,Compatible
Magnesium sulfate,Clonidine hydrocloride,Compatible
Magnesium sulfate,Cloxacillin sodium,Compatible
Magnesium sulfate,Diazepam,Not compatible
Magnesium sulfate,Erythromycin lactobionate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Magnesium sulfate,Fluconazole,Compatible
Magnesium sulfate,Furosemide (Frusemide),Not compatible
Magnesium sulfate,Gentamicin sulfate,Compatible
Magnesium sulfate,Hydrocortisone sodium succinate,Not compatible
Magnesium sulfate,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Magnesium sulfate,Ketamine HCl,Compatible
Magnesium sulfate,Lorazepam,Compatible
Magnesium sulfate,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Magnesium sulfate,Meropenem,Compatible
Magnesium sulfate,Methylprednisolone sodium succinate,Not compatible
Magnesium sulfate,Metronidazole,Compatible
Magnesium sulfate,Morphine sulfate,Compatible
Magnesium sulfate,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Magnesium sulfate,Ondansetron hydrochloride,Compatible
Magnesium sulfate,Phenobarbital sodium,Compatible
Magnesium sulfate,Penicillin G sodium,Compatible
Magnesium sulfate,Phenytoin sodium,Not compatible
Magnesium sulfate,Piperacillin sodium-Tazobactam sodium,Compatible
Magnesium sulfate,Potassium chloride,Compatible
Magnesium sulfate,Potassium phosphates,Cs
Magnesium sulfate,Sodium acetate,Compatible
Magnesium sulfate,Sodium bicarbonate,Compatible
Magnesium sulfate,Sulfamethoxazole-Trimethoprim,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Magnesium sulfate,Vancomycin hydrochloride,Compatible
Meropenem,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Meropenem,Acyclovir,Not compatible
Meropenem,Amikacin sulfate,Compatible
Meropenem,Aminophylline,Compatible
Meropenem,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Meropenem,Ampicillin sodium,Compatible if NaCl 0.9% used
Meropenem,Ampicillin sodium-sulbactam sodium*,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Meropenem,Calcium chloride,Compatible
Meropenem,Calcium gluconate,Not compatible
Meropenem,Cefazolin sodium,Compatible
Meropenem,Ceftazidime,Compatible
Meropenem,Ceftriaxone sodium,Compatible
Meropenem,Ciprofloxacin,Not compatible
Meropenem,Clindamycin phosphate,Compatible
Meropenem,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Meropenem,Cloxacillin sodium,Compatible
Meropenem,Diazepam,Not compatible
Meropenem,Erythromycin lactobionate,Compatible
Meropenem,Fluconazole,Compatible
Meropenem,Furosemide (Frusemide),Compatible
Meropenem,Gentamicin sulfate,Compatible
Meropenem,Hydrocortisone sodium succinate,Compatible
Meropenem,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Meropenem,Ketamine HCl,Not compatible
Meropenem,Lorazepam,Compatible
Meropenem,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Meropenem,Magnesium sulfate,Compatible
Meropenem,Methylprednisolone sodium succinate,Compatible
Meropenem,Metronidazole,Compatible
Meropenem,Morphine sulfate,Compatible
Meropenem,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Meropenem,Ondansetron hydrochloride,Not compatible
Meropenem,Phenobarbital sodium,Compatible
Meropenem,Penicillin G sodium,Compatible
Meropenem,Phenytoin sodium,Not compatible
Meropenem,Piperacillin sodium-Tazobactam sodium,Compatible
Meropenem,Potassium chloride,Compatible
Meropenem,Potassium phosphates,Compatible
Meropenem,Sodium acetate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Meropenem,Sodium bicarbonate,Compatible
Meropenem,Sulfamethoxazole-Trimethoprim,Compatible
Meropenem,Vancomycin hydrochloride,Compatible
Methylprednisolone sodium succinate,Acetaminophen/Paracetamol,Compatible
Methylprednisolone sodium succinate,Acyclovir,Compatible
Methylprednisolone sodium succinate,Amikacin sulfate,Compatible
Methylprednisolone sodium succinate,Aminophylline,Compatible
Methylprednisolone sodium succinate,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Methylprednisolone sodium succinate,Ampicillin sodium,Not compatible
Methylprednisolone sodium succinate,Ampicillin sodium-sulbactam sodium*,Not compatible
Methylprednisolone sodium succinate,Calcium chloride,Not compatible
Methylprednisolone sodium succinate,Calcium gluconate,Not compatible
Methylprednisolone sodium succinate,Cefazolin sodium,Compatible
Methylprednisolone sodium succinate,Ceftazidime,Compatible
Methylprednisolone sodium succinate,Ceftriaxone sodium,Compatible
Methylprednisolone sodium succinate,Ciprofloxacin,Not compatible
Methylprednisolone sodium succinate,Clindamycin phosphate,Compatible
Methylprednisolone sodium succinate,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Methylprednisolone sodium succinate,Cloxacillin sodium,Compatible
Methylprednisolone sodium succinate,Diazepam,Not compatible
Methylprednisolone sodium succinate,Erythromycin lactobionate,Compatible
Methylprednisolone sodium succinate,Fluconazole,Compatible
Methylprednisolone sodium succinate,Furosemide (Frusemide),Compatible
Methylprednisolone sodium succinate,Gentamicin sulfate,Compatible
Methylprednisolone sodium succinate,Hydrocortisone sodium succinate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Methylprednisolone sodium succinate,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Methylprednisolone sodium succinate,Ketamine HCl,Not compatible
Methylprednisolone sodium succinate,Lorazepam,Compatible
Methylprednisolone sodium succinate,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Methylprednisolone sodium succinate,Magnesium sulfate,Not compatible
Methylprednisolone sodium succinate,Meropenem,Compatible
Methylprednisolone sodium succinate,Metronidazole,Compatible
Methylprednisolone sodium succinate,Morphine sulfate,Compatible
Methylprednisolone sodium succinate,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Methylprednisolone sodium succinate,Ondansetron hydrochloride,Not compatible
Methylprednisolone sodium succinate,Phenobarbital sodium,Compatible
Methylprednisolone sodium succinate,Penicillin G sodium,Compatible
Methylprednisolone sodium succinate,Phenytoin sodium,Not compatible
Methylprednisolone sodium succinate,Piperacillin sodium-Tazobactam sodium,Compatible
Methylprednisolone sodium succinate,Potassium chloride,Compatible
Methylprednisolone sodium succinate,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Methylprednisolone sodium succinate,Sodium acetate,Compatible
Methylprednisolone sodium succinate,Sodium bicarbonate,Compatible
Methylprednisolone sodium succinate,Sulfamethoxazole-Trimethoprim,Not compatible
Methylprednisolone sodium succinate,Vancomycin hydrochloride,Not compatible
Metronidazole,Acetaminophen/Paracetamol,Not compatible
Metronidazole,Acyclovir,Compatible
Metronidazole,Amikacin sulfate,Compatible
Metronidazole,Aminophylline,Compatible
Metronidazole,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Metronidazole,Ampicillin sodium,Compatible
Metronidazole,Ampicillin sodium-sulbactam sodium*,Compatible
Metronidazole,Calcium chloride,Compatible
Metronidazole,Calcium gluconate,Compatible
Metronidazole,Cefazolin sodium,Compatible
Metronidazole,Ceftazidime,Compatible
Metronidazole,Ceftriaxone sodium,Compatible
Metronidazole,Ciprofloxacin,Compatible
Metronidazole,Clindamycin phosphate,Compatible
